"author"	"published_at"	"updated_at"	"like_count"	"text"
"@NFL"	"2026-02-09T05:36:53Z"	"2026-02-09T05:37:05Z"	"134108"	"Lets play I spy 👀. How many celebs can you name dancing at the Benito Bowl?🕺"
"@Merohypatia"	"2026-03-08T20:54:45Z"	"2026-03-08T20:54:45Z"	"0"	"Mi obsecion es Bad Banny! Que papi Asombroso! Que el inquebrantable. Machoo ay machoo💜🚀🚀🚀🚀💜"
"@Micinapolic7312"	"2026-03-08T20:53:05Z"	"2026-03-08T20:53:05Z"	"0"	"AMERICA fotbol Team and this is singing, no vords this is the end of normality"
"@natalyangelaramirezestrell6141"	"2026-03-08T20:46:39Z"	"2026-03-08T20:46:39Z"	"0"	"Salia carol g"
"@MonicaVillarrealPena"	"2026-03-08T20:42:01Z"	"2026-03-08T20:42:01Z"	"0"	"Yo entiendo todo"
"@DanielaAleman-eq8fz"	"2026-03-08T20:31:35Z"	"2026-03-08T20:31:35Z"	"0"	"This was amazing 🎉"
"@big.nugget5184"	"2026-03-08T20:18:24Z"	"2026-03-08T20:18:24Z"	"0"	"Best halftime show ever!! Viva Bad Bunny!!"
"@juanvasquezg"	"2026-03-08T20:01:08Z"	"2026-03-08T20:01:08Z"	"0"	"HHHHHHHHHHHHHHHHHHHHHHHHHGGGGGGGGGGGGGGGGGGGRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRREEEEEEEEEEEEEEEEEEEEEEEEEEEEEEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
"@lordfleabottom278"	"2026-03-08T19:55:01Z"	"2026-03-08T19:55:41Z"	"0"	"Is it just me or someone else got chills at <a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=763"">12:43</a>?"
"@amig0602"	"2026-03-08T19:49:42Z"	"2026-03-08T19:49:42Z"	"0"	"Stunning"
"@destinykelley7608"	"2026-03-08T19:44:43Z"	"2026-03-08T19:44:43Z"	"0"	"Me 2 months later coming to witness this OUTSTANDING performance yet again ♥️🥰"
"@bruddah_"	"2026-03-08T19:44:28Z"	"2026-03-08T19:44:28Z"	"1"	"not even 1 month in and 121m views, its insanity fr. GOAT"
"@JianildaGarcia"	"2026-03-08T19:36:45Z"	"2026-03-08T19:36:45Z"	"1"	"❤❤❤❤❤❤❤ I Love you  Bat Boni ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊🎉🎉🎉"
"@AlexGomez-my8cc"	"2026-03-08T19:26:26Z"	"2026-03-08T19:26:26Z"	"0"	"NFL good business"
"@StardawnForeverLive227"	"2026-03-08T19:26:12Z"	"2026-03-08T19:26:12Z"	"0"	"<a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=29"">0:29</a> Why It Sound Like The V Cancelled Update Of Sprunki Swapped"
"@eesamees"	"2026-03-08T19:16:51Z"	"2026-03-08T19:16:51Z"	"0"	"straight goosebumps throughout the entire “God bless America” segment and the song after. it’s wild how normalized racism and hatred is throughout the world and especially displayed in our U.S. government. everyone celebrating, dancing and singing this message of “we’re still here” is so bittersweet and heartwarming"
"@LiaAleman-n2z"	"2026-03-08T19:13:57Z"	"2026-03-08T19:13:57Z"	"0"	"<a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=746"">12:26</a> mi pais <a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=746"">12:26</a>"
"@gloria-w9l"	"2026-03-08T19:01:10Z"	"2026-03-08T19:01:10Z"	"0"	"Un buen espectáculo desde Perú Bunny felicitaciones ❤️🎊🥳"
"@kasamaroficial"	"2026-03-08T18:53:04Z"	"2026-03-08T18:53:04Z"	"1"	"Ya pasó un mes y seguimos aqui😊"
"@auroreglatz3506"	"2026-03-08T18:51:00Z"	"2026-03-08T18:51:00Z"	"0"	"💪"
"@ScarlethViloria"	"2026-03-08T18:49:51Z"	"2026-03-08T18:49:51Z"	"0"	"❤😂😊😢Scarleth"
"@enhypenkids"	"2026-03-08T18:45:29Z"	"2026-03-08T18:45:29Z"	"0"	"&lt;3"
"@Movieproductions-s8t"	"2026-03-08T18:39:55Z"	"2026-03-08T18:39:55Z"	"0"	"Why is lady gaga here😮 <a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=388"">6:28</a>"
"@mimiclasico1727"	"2026-03-08T18:36:16Z"	"2026-03-08T18:36:16Z"	"0"	"O"
"@ednaherrera8026"	"2026-03-08T18:33:34Z"	"2026-03-08T18:34:37Z"	"2"	"STARTED CRYING WHEN I HEARD MEXÍCO I WAS BORN THERE <a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=746"">12:26</a>"
"@ednaherrera8026"	"2026-03-08T18:28:56Z"	"2026-03-08T18:28:56Z"	"1"	"100% understood. 100% got the message."
"@AngelA-f1i9g"	"2026-03-08T18:22:00Z"	"2026-03-08T18:22:00Z"	"0"	"Here we go again 🎉"
"@monicadiaz3716"	"2026-03-08T18:19:31Z"	"2026-03-08T18:19:31Z"	"1"	"My cousin said Lady Lady Gaga looks like Elsa"
"@nancefreay3309"	"2026-03-08T17:52:54Z"	"2026-03-08T17:52:54Z"	"0"	"Amazing,  🎉i watch this at least a couple of times a day ❤❤❤❤"
"@73dines"	"2026-03-08T17:51:21Z"	"2026-03-08T17:51:21Z"	"0"	"Interesting satanic ritual"
"@mdcataspirant33"	"2026-03-08T17:38:47Z"	"2026-03-08T17:38:47Z"	"0"	"Whats cardi b doing here"
"@DjDsmooth89"	"2026-03-08T17:38:27Z"	"2026-03-08T17:38:27Z"	"2"	"This performance has 121 million views and theyre all from me 😂 Love this performance 🔥"
